,Accuracy,Balanced Accuracy,F1 Score,Specificity,Parity Score Gender,Parity Score Race,Intersectional Parity Score,AUC_Gender,KL Divergence_Gender,Model
0,0.34,0.3368013872215553,0.4342857142857143,0.17687074829931973,0.8964654363465749,0.750228987599678,0.6763472720869586,0.6231288261316413,0.02344031591013032,FairBN
1,0.79,0.7898492730425504,0.7947882736156352,0.782312925170068,0.43223557799722956,0.6936472211222471,0.2510322752091464,0.8135752267751016,0.7260400555576179,LabelBN
2,0.8066666666666666,0.8077897825796985,0.798611111111111,0.8639455782312925,0.2821395057866749,0.8089842554592261,0.20580097322426993,0.9163054649448144,1.203280896595243,NBSens
3,0.78,0.7815126050420168,0.7659574468085107,0.8571428571428571,0.4534608338174182,0.7755929008503301,0.33300300835944574,0.8469547343491666,0.6456005531561658,NB
4,0.6466666666666666,0.6399893290649593,0.7376237623762376,0.30612244897959184,0.7011037133026499,0.79220370301145,0.5780975841967632,0.8582152911211404,0.5836151053782944,FRFC05
5,1.0,1.0,1.0,1.0,0.5456901559497743,0.7095058456618116,0.3865088164990441,0.7271549220251128,0.4432525807409932,Dataset
6,0.37666666666666665,0.38488247863247865,0.23045267489711938,0.5902777777777778,0.9915966386554622,0.507961952709417,0.5021042189419034,0.5225868125027788,0.00017201132954285103,FairBN
7,0.72,0.7120726495726495,0.7717391304347825,0.5138888888888888,0.6249166333199947,0.46981512523902447,0.24020739149175308,0.7985416388777732,0.45315709342794835,LabelBN
8,0.7766666666666666,0.7737713675213675,0.7975830815709971,0.7013888888888888,0.27637721755368816,0.7069841749097643,0.25715478511271095,0.939131208038771,1.8214527402831984,NBSens
9,0.76,0.7540064102564102,0.7966101694915254,0.6041666666666666,0.4667200213418701,0.6214699787267182,0.3944150829213262,0.827286470143613,0.9718325070341169,NB
10,0.56,0.5419337606837606,0.7013574660633485,0.09027777777777778,0.9084967320261438,0.9384920794581442,0.8941792148710068,0.8606109110310791,,FRFC05
11,1.0,1.0,1.0,1.0,0.579031612645058,0.5793009370581296,0.36034423061023324,0.710484193677471,0.3852705709061915,Dataset
12,0.3233333333333333,0.3313107339572791,0.2775800711743772,0.4233576642335766,0.9846674986628632,0.7000671677310457,0.6354930420097569,0.5162239258334819,0.000493578507255215,FairBN
13,0.7633333333333333,0.7490260176436344,0.8075880758807589,0.583941605839416,0.525227313246568,0.5832189262190619,0.26608440055420546,0.8008111962916741,0.7207922831987588,LabelBN
14,0.77,0.7615646410819041,0.8022922636103152,0.6642335766423357,0.4111249777143875,0.8773316327213131,0.325873153329749,0.9170083793902657,0.9945219999902518,NBSens
15,0.7833333333333333,0.7715059782365321,0.8199445983379502,0.635036496350365,0.5624888571937957,0.7620446205987879,0.40986737992177436,0.7824924228917811,0.5292224353688515,NB
16,0.5966666666666667,0.5589763109578613,0.7280898876404495,0.12408759124087591,0.8732394366197183,0.9478120493155392,0.8708735504780549,0.8025940452843644,,FRFC05
17,1.0,1.0,1.0,1.0,0.6369228026386164,0.6612240013068809,0.46828363686880414,0.6815385986806919,0.2829888160273437,Dataset
18,0.33,0.3290362731152205,0.2743682310469314,0.40131578947368424,0.8790612916129605,0.5722165354280055,0.5070545154658895,0.5754700208898174,0.030358392559998934,FairBN
19,0.7933333333333333,0.7949857752489331,0.8143712574850299,0.6710526315789473,0.4717098537712786,0.6368091504182091,0.2563938505460114,0.8423707720343127,0.7857333912244551,LabelBN
20,0.7966666666666666,0.7974751066856329,0.8063492063492064,0.7368421052631579,0.239210631583626,0.837015592668148,0.2178897213147728,0.9358638161696075,1.8464169096404621,NBSens
21,0.8133333333333334,0.8152560455192034,0.835294117647059,0.6710526315789473,0.5914485088226143,0.729500997500105,0.48589828703756943,0.8188141695186453,0.4398516053069964,NB
22,0.5766666666666667,0.5822368421052632,0.6997635933806148,0.16447368421052633,0.8344370860927153,0.9271409852819709,0.8267290536706885,0.8576381172496556,,FRFC05
23,1.0,1.0,1.0,1.0,0.5800702253433486,0.7446670815674521,0.4515683286148888,0.7099648873283256,0.37467310478810567,Dataset
24,0.37666666666666665,0.3763120441202633,0.36177474402730375,0.38961038961038963,0.9329064959317059,0.7976432813931059,0.7259432218679891,0.5748966253167934,0.009029411107035784,FairBN
25,0.77,0.771704323074186,0.7795527156549521,0.7077922077922078,0.38415366146458585,0.6051282094198996,0.24430921045558385,0.890667378062336,0.9920881516489769,LabelBN
26,0.7833333333333333,0.783623910336239,0.7811447811447811,0.7727272727272727,0.1995464852607709,0.8572034581718535,0.16138262573477324,0.9687875150060022,1.8174410843086812,NBSens
27,0.8066666666666666,0.8099092688133784,0.8242424242424241,0.6883116883116883,0.5352807789782581,0.8112995366546097,0.38869711351132574,0.8615446178471389,0.5627130811202903,NB
28,0.5433333333333333,0.5551948051948052,0.6806526806526806,0.11038961038961038,0.8888888888888888,0.9453764391467724,0.8837650281751992,0.8303988261971456,,FRFC05
29,1.0,1.0,1.0,1.0,0.5536881419234361,0.7327390095947982,0.4727787063707819,0.7231559290382821,0.42598784653487265,Dataset
30,0.27,0.2631039400962738,0.36151603498542273,0.13380281690140844,0.8688254420738497,0.7744584707228421,0.6637476537411995,0.581711282348225,0.035956024242317405,FairBN
31,0.8066666666666666,0.8057586022463897,0.8176100628930818,0.7887323943661971,0.4218520333170014,0.6112091662683218,0.22660886016384763,0.8318115006013096,0.7818466571134989,LabelBN
32,0.7466666666666667,0.7455874487430915,0.761006289308176,0.7253521126760564,0.20805309340341183,0.8607214315172258,0.2037616945117373,0.9442786512850208,1.776244286129666,NBSens
33,0.7666666666666667,0.7642182207167053,0.7852760736196319,0.7183098591549296,0.49115852300565677,0.8605071266104962,0.4434201817088117,0.8321010199991092,0.6049588563744623,NB
34,0.56,0.5369941165983242,0.6986301369863013,0.1056338028169014,0.8601398601398601,0.9290335974954772,0.839067692779542,0.8519665048327469,,FRFC05
35,1.0,1.0,1.0,1.0,0.6751146942229745,0.6576625283122866,0.5261004313558135,0.6624426528885128,0.22142403732969923,Dataset
36,0.29333333333333333,0.29494949494949496,0.3026315789473685,0.3111111111111111,0.9571224817257977,0.6119537418923624,0.5377537529675493,0.5032982706364771,0.003705502628020288,FairBN
37,0.8033333333333333,0.7936026936026936,0.8328611898016997,0.6962962962962963,0.5054376894277055,0.6448631189918491,0.2719629626743416,0.8526921019789624,0.6475825446893326,LabelBN
38,0.7933333333333333,0.7946127946127947,0.80625,0.8074074074074075,0.2730433232305223,0.9120103027170064,0.2383584713596214,0.9382242824032805,1.3342634100940995,NBSens
39,0.7933333333333333,0.7905723905723906,0.8132530120481929,0.762962962962963,0.5046354073809949,0.7374457938852543,0.37551813682330115,0.8202888215368157,0.5649314222803957,NB
40,0.61,0.5693602693602693,0.7334851936218678,0.16296296296296298,0.8169014084507042,0.979168903776231,0.7994570552545948,0.8310973435550009,,FRFC05
41,1.0,1.0,1.0,1.0,0.6108932073453378,0.7045695856198422,0.43460465628530087,0.694553396327331,0.33001976138421596,Dataset
42,0.33,0.3170704401952443,0.43059490084985835,0.1678832116788321,0.8594556128802704,0.8187692065078421,0.733105933851697,0.5880181462373243,0.04182798006996406,FairBN
43,0.8066666666666666,0.8069499798486409,0.8187500000000001,0.8102189781021898,0.28740437644547234,0.6656386765925519,0.18056741680758304,0.8895214374666429,1.306014868589991,LabelBN
44,0.7933333333333333,0.7987550938157717,0.7947019867549668,0.8613138686131386,0.20414516989859455,0.7870235767051088,0.15210745145421,0.9439601494396015,1.5937347512621494,NBSens
45,0.8266666666666667,0.8282656396936994,0.8354430379746836,0.8467153284671532,0.5001779042874933,0.724790368861711,0.35278378371996977,0.8472691691869775,0.5504771687169463,NB
46,0.6333333333333333,0.5997044467332407,0.7453703703703703,0.2116788321167883,0.7876712328767124,0.8853291233893088,0.7440516892796125,0.8481364525885073,,FRFC05
47,1.0,1.0,1.0,1.0,0.5419854118484255,0.7205537617533293,0.40632433787553235,0.7290072940757872,0.4698580584834405,Dataset
48,0.3333333333333333,0.3561811505507956,0.2481203007518797,0.5193798449612403,0.9427642421272995,0.6268796583908137,0.5795070536894902,0.5284842545989042,0.007477951181506959,FairBN
49,0.72,0.6953624371005032,0.7801047120418848,0.5193798449612403,0.5780588837913678,0.5981374931854404,0.2720606143991934,0.8175136964945883,0.5710681950762954,LabelBN
50,0.7733333333333333,0.7611859105127159,0.8100558659217877,0.6744186046511628,0.3701394147254019,0.8390036674760163,0.2927584421422307,0.9347913233263552,1.2340368908829218,NBSens
51,0.7466666666666667,0.721610227118183,0.8020833333333333,0.5426356589147286,0.5519575965435838,0.8737159949296419,0.5149436055095666,0.807202351788339,0.6944657852177676,NB
52,0.6066666666666667,0.5435876512987896,0.74235807860262,0.09302325581395349,0.9090909090909091,0.9398598937992905,0.8900384381743107,0.8011224444345463,,FRFC05
53,1.0,1.0,1.0,1.0,0.6190370139414725,0.7287814684177969,0.47944545157790674,0.6904814930292638,0.32306207368726714,Dataset
