,Accuracy,Balanced Accuracy,F1 Score,Specificity,Parity Score Gender,Parity Score Race,Intersectional Parity Score,Model
0,0.5066666666666667,0.4990423589149704,0.5842696629213484,0.3356643356643357,0.9567790530846484,0.7883568521118398,0.6914554944558212,FairBN
1,0.89,0.8874214957017506,0.8996960486322189,0.8321678321678322,0.421987087517934,0.42323996210467363,0.23103788072263887,LabelBN
2,0.9233333333333333,0.9233219010289074,0.926517571884984,0.9230769230769231,0.49264705882352944,0.3428107562451802,0.1327381877102477,NBSens
3,0.9166666666666666,0.9169524742773151,0.9196141479099679,0.9230769230769231,0.4779411764705882,0.38399736010107166,0.1645672702673664,NB
4,1.0,1.0,1.0,1.0,0.5269010043041606,0.2999591151813362,0.182692948721367,Dataset
5,0.5466666666666666,0.5652056277056277,0.5828220858895705,0.4107142857142857,0.6133333333333333,0.7756697495560629,0.523153017684078,FairBN
6,0.7833333333333333,0.7976190476190477,0.7882736156351791,0.6785714285714286,0.42000000000000004,0.5407456153660478,0.24971232407566413,LabelBN
7,0.86,0.8668831168831168,0.8531468531468532,0.8095238095238095,0.48,0.38840065296367154,0.1130073544552086,NBSens
8,0.8533333333333334,0.8609307359307359,0.8472222222222222,0.7976190476190477,0.4933333333333333,0.3864856301496946,0.11492563649926935,NB
9,1.0,1.0,1.0,1.0,0.5866666666666667,0.22924904576433802,0.1555129250620203,Dataset
10,0.51,0.5048943270300333,0.5811965811965812,0.35172413793103446,0.9188034188034189,0.7969609725996926,0.6781440949417373,FairBN
11,0.8933333333333333,0.8909899888765295,0.903030303030303,0.8206896551724138,0.39903846153846156,0.4212453306001167,0.21075101896924975,LabelBN
12,0.9266666666666666,0.9268075639599556,0.9285714285714285,0.9310344827586207,0.5,0.37082929514317065,0.16380593876958804,NBSens
13,0.8866666666666667,0.8874304783092325,0.8874172185430464,0.9103448275862069,0.45833333333333337,0.515183628416642,0.24212802416186885,NB
14,1.0,1.0,1.0,1.0,0.5138888888888888,0.3185850787504919,0.1910479752936407,Dataset
15,0.5,0.4798319707303853,0.5901639344262295,0.32061068702290074,0.9099713055954088,0.7639180661250622,0.6394169648904593,FairBN
16,0.8966666666666666,0.8954108134965446,0.9080118694362018,0.8854961832061069,0.4732783357245336,0.43026282850665365,0.20452429974729835,LabelBN
17,0.86,0.8688739328786305,0.8653846153846153,0.9389312977099237,0.4643113342898135,0.35211320150972414,0.1506561244598098,NBSens
18,0.8533333333333334,0.8629567731153169,0.8580645161290322,0.9389312977099237,0.4496054519368724,0.4011249735577933,0.20007316628462601,NB
19,1.0,1.0,1.0,1.0,0.6151362984218078,0.27451940250325135,0.19063864122679408,Dataset
20,0.46,0.4545940170940171,0.5317919075144508,0.3194444444444444,0.8252634387088169,0.8248943231424489,0.6382102609711816,FairBN
21,0.84,0.8357371794871795,0.8596491228070176,0.7291666666666666,0.5046018407362944,0.5278999555798966,0.22302439747205804,LabelBN
22,0.8966666666666666,0.8966346153846154,0.9003215434083601,0.8958333333333334,0.5604908630118715,0.37938198619831576,0.17833565227184245,NBSens
23,0.8866666666666667,0.8867521367521367,0.8903225806451613,0.8888888888888888,0.5536881419234361,0.417490913019092,0.21024637792999756,NB
24,1.0,1.0,1.0,1.0,0.6206482593037214,0.26531541432327765,0.17875033004075835,Dataset
25,0.46,0.45118191161356624,0.5317919075144508,0.33093525179856115,0.9240244560330876,0.810380915912025,0.5355987972405435,FairBN
26,0.89,0.8832610929889628,0.9048991354466858,0.7913669064748201,0.48642330516094223,0.29123406600528823,0.16553887472508932,LabelBN
27,0.9166666666666666,0.9164618615666473,0.9221183800623053,0.9136690647482014,0.5081819816579751,0.31546316297924604,0.14731538006156242,NBSens
28,0.9033333333333333,0.9030564368381071,0.9096573208722741,0.8992805755395683,0.5081819816579751,0.3617599219347203,0.2037977928686876,NB
29,1.0,1.0,1.0,1.0,0.5156446682251393,0.24996531995901305,0.18223851502306265,Dataset
30,0.45666666666666667,0.4573758833725943,0.5075528700906344,0.3509933774834437,0.9676214196762142,0.8006004973621632,0.7292398709349737,FairBN
31,0.9066666666666666,0.9070625361127161,0.9113924050632912,0.847682119205298,0.5099626400996264,0.3787657882169574,0.2124862498996325,LabelBN
32,0.9033333333333333,0.9033957064758433,0.9036544850498338,0.8940397350993378,0.5326454367550257,0.38395224221990676,0.16766724913205866,NBSens
33,0.8733333333333333,0.8733277034534868,0.87248322147651,0.8741721854304636,0.5131649172745063,0.47440714276755414,0.23216716152363792,NB
34,1.0,1.0,1.0,1.0,0.5798790250845045,0.3207367303965978,0.19447169190841718,Dataset
35,0.53,0.5160714285714285,0.6219839142091153,0.30714285714285716,0.7418629742852004,0.7597845271357602,0.679323196985007,FairBN
36,0.8666666666666667,0.8584821428571429,0.8870056497175142,0.7357142857142858,0.4517173170293113,0.4668202065610959,0.18289565446630973,LabelBN
37,0.89,0.8892857142857142,0.897196261682243,0.8785714285714286,0.5695918000359648,0.3422756883254514,0.12285318234811349,NBSens
38,0.8633333333333333,0.8633928571428572,0.8706624605678234,0.8642857142857143,0.5397410537673081,0.46064711848931705,0.1909130332028235,NB
39,1.0,1.0,1.0,1.0,0.5621291134688007,0.268165214953045,0.16726947877300258,Dataset
40,0.4533333333333333,0.46140131930825456,0.514792899408284,0.310126582278481,0.7719017094017094,0.6261591716855552,0.4640671680607883,FairBN
41,0.9,0.8993581743626315,0.8936170212765958,0.9113924050632911,0.44177350427350426,0.3152572473645914,0.1946693851007859,LabelBN
