,Accuracy,Balanced Accuracy,F1 Score,Specificity,Parity Score Gender,Parity Score Race,Intersectional Parity Score,AUC_Gender,KL Divergence_Gender,Model
0,0.11333333333333333,0.121830606006114,0.049999999999999996,0.20149253731343283,0.8985507246376812,0.8183670782909114,0.6974666846902431,0.5421139738772589,0.021485444995297143,FairBN
1,0.8566666666666667,0.8510609602589463,0.8746355685131194,0.7985074626865671,0.9004294149221685,0.7896688736662296,0.6817975080456331,0.5326981570942924,0.020268389800374972,LabelBN
2,0.89,0.8811814421866571,0.9065155807365439,0.7985074626865671,0.9192163177670424,0.8480727409449675,0.7705197757690283,0.5568080157452138,0.013699294276990251,NBSens
3,0.9,0.8923754720374033,0.9142857142857143,0.8208955223880597,0.937734836285561,0.8405468371550371,0.7690547192286497,0.5415101091429595,0.008088729582963014,NB
4,0.5533333333333333,0.5,0.7124463519313305,0.0,1.0,1.0,1.0,0.5541465378421899,0.0,FRFC05
5,1.0,1.0,1.0,1.0,0.9817498658078367,0.8111909718012359,0.8027169089670252,0.5091250670960816,0.0006727971924977497,Dataset
6,0.20333333333333334,0.21328671328671328,0.0,0.42657342657342656,0.9718614718614719,0.8425318119792079,0.7802372011359101,0.5162112193362193,0.0019805839620147953,FairBN
7,0.6366666666666667,0.6341588347957774,0.6646153846153846,0.5804195804195804,0.8771645021645021,0.9278094414408158,0.6863231341731099,0.5809208152958153,0.030553882451803016,LabelBN
8,0.79,0.7797202797202798,0.8328912466843501,0.5594405594405595,0.9296536796536796,0.8076552053587385,0.7574977080791249,0.5065611471861472,0.012469833684449726,NBSens
9,0.79,0.7797202797202798,0.8328912466843501,0.5594405594405595,0.9837662337662337,0.8536021447533608,0.785538119151663,0.506606240981241,0.0006711544091393684,NB
10,0.5233333333333333,0.5,0.687089715536105,0.0,1.0,1.0,1.0,0.5335046897546898,0.0,FRFC05
11,1.0,1.0,1.0,1.0,0.9875541125541126,0.8118034324745479,0.7892607323544032,0.5062229437229437,0.00031041227703002515,Dataset
12,0.17,0.17114093959731544,0.0,0.3422818791946309,0.9959082013876535,0.8222498529370608,0.7235291924620653,0.50180128091087,3.8015755590616734e-05,FairBN
13,0.81,0.8089915107338104,0.8357348703170029,0.6577181208053692,0.9948407756626935,0.7864173273690258,0.7196260789471967,0.5064267923856964,5.8688341368066076e-05,LabelBN
14,0.82,0.8187919463087248,0.848314606741573,0.6375838926174496,0.9230563956591354,0.7948762077372111,0.7009321952892829,0.524906600249066,0.01340893221367126,NBSens
15,0.83,0.8288590604026846,0.8555240793201133,0.6577181208053692,0.9959082013876535,0.8222498529370608,0.7235291924620653,0.5062488880982032,3.8015755590616734e-05,NB
16,0.5033333333333333,0.5,0.6696230598669622,0.0,1.0,1.0,1.0,0.5215041807507561,0.0,FRFC05
17,1.0,1.0,1.0,1.0,0.9931506849315068,0.8817130907621626,0.8000574890988322,0.5034246575342466,9.38350382785301e-05,Dataset
18,0.12333333333333334,0.1425327034883721,0.0149812734082397,0.2734375,0.9266666666666667,0.8401847667912549,0.7406522270856044,0.5398888888888889,0.012208336331751599,FairBN
19,0.8566666666666667,0.8400254360465116,0.8840970350404314,0.7265625,0.9133333333333333,0.8314890195667052,0.7350687410874635,0.5491555555555555,0.016527238728781868,LabelBN
20,0.8833333333333333,0.8652797965116279,0.9066666666666666,0.7421875,0.86,0.7690876387397543,0.6994083236692392,0.5700222222222222,0.043583067042324744,NBSens
21,0.8733333333333333,0.8535610465116279,0.8994708994708994,0.71875,0.9333333333333333,0.8424376038962655,0.7428460644084394,0.5535999999999999,0.010157150803169784,NB
22,0.5733333333333334,0.5,0.728813559322034,0.0,1.0,1.0,1.0,0.5651333333333333,0.0,FRFC05
23,1.0,1.0,1.0,1.0,0.9466666666666667,0.8706213820532125,0.791713395468598,0.5266666666666666,0.00578899665800485,Dataset
24,0.09333333333333334,0.09927902915229948,0.03546099290780142,0.1678832116788321,0.9589187742539811,0.7779329446615146,0.676254165913533,0.5239975021187386,0.003545237969480877,FairBN
25,0.8866666666666667,0.8823160628722404,0.8994082840236686,0.8321167883211679,0.9565101030376021,0.7900371264605,0.6846151218445444,0.5304652303849414,0.003909220036788716,LabelBN
26,0.9066666666666666,0.9007209708477004,0.9186046511627907,0.8321167883211679,0.9455372674963202,0.7864045023398217,0.7392356187525365,0.5035237967795174,0.006243769731531498,NBSens
27,0.9066666666666666,0.9007209708477004,0.9186046511627907,0.8321167883211679,0.9455372674963202,0.7864045023398217,0.7392356187525365,0.5189125295508275,0.006243769731531498,NB
28,0.5433333333333333,0.5,0.7041036717062634,0.0,1.0,1.0,1.0,0.5246665774566216,0.0,FRFC05
29,1.0,1.0,1.0,1.0,0.9383112538471832,0.8207595862184834,0.7214160322591671,0.5308443730764084,0.00770029240945546,Dataset
30,0.17666666666666667,0.1863374816004282,0.03137254901960784,0.3475177304964539,0.8898935459445014,0.8155679417686454,0.4714486540707201,0.5367689635205558,0.027100775578985284,FairBN
31,0.73,0.725612203934163,0.7582089552238805,0.6524822695035462,0.8410761213308985,0.8407225957404412,0.4908712654005989,0.5832925036746692,0.05148299731991596,LabelBN
32,0.8433333333333334,0.8337347785360631,0.8705234159779615,0.6737588652482269,0.8765311121999021,0.7745805564074746,0.5257518564067252,0.540020489065075,0.033994912995749804,NBSens
33,0.8466666666666667,0.8372808778268432,0.8729281767955802,0.6808510638297872,0.8962629726960938,0.7726288772259275,0.5282064425824147,0.5238964856799251,0.023970595230503156,NB
